case_id,terrain,difficulty_row,source_column,seed,command_bin,replicate,vx_m_s,vy_m_s,yaw_rad_s
0,smooth_slope,0,0,200000,standing,0,0,0,0
1,smooth_slope,0,1,200000,standing,1,0,0,0
2,smooth_slope,0,0,200000,standing,2,0,0,0
3,smooth_slope,0,1,200000,standing,3,0,0,0
4,smooth_slope,0,0,200000,standing,4,0,0,0
5,smooth_slope,0,1,200000,standing,5,0,0,0
6,smooth_slope,0,0,200000,standing,6,0,0,0
7,smooth_slope,0,1,200000,standing,7,0,0,0
8,smooth_slope,0,0,200000,standing,8,0,0,0
9,smooth_slope,0,1,200000,standing,9,0,0,0
10,smooth_slope,0,0,200000,standing,10,0,0,0
11,smooth_slope,0,1,200000,standing,11,0,0,0
12,smooth_slope,0,0,200000,standing,12,0,0,0
13,smooth_slope,0,1,200000,standing,13,0,0,0
14,smooth_slope,0,0,200000,standing,14,0,0,0
15,smooth_slope,0,1,200000,standing,15,0,0,0
16,smooth_slope,0,0,200000,standing,16,0,0,0
17,smooth_slope,0,1,200000,standing,17,0,0,0
18,smooth_slope,0,0,200000,standing,18,0,0,0
19,smooth_slope,0,1,200000,standing,19,0,0,0
20,smooth_slope,0,0,200000,standing,20,0,0,0
21,smooth_slope,0,1,200000,standing,21,0,0,0
22,smooth_slope,0,0,200000,standing,22,0,0,0
23,smooth_slope,0,1,200000,standing,23,0,0,0
24,smooth_slope,0,0,200000,standing,24,0,0,0
25,smooth_slope,0,1,200000,standing,25,0,0,0
26,smooth_slope,0,0,200000,standing,26,0,0,0
27,smooth_slope,0,1,200000,standing,27,0,0,0
28,smooth_slope,0,0,200000,standing,28,0,0,0
29,smooth_slope,0,1,200000,standing,29,0,0,0
30,smooth_slope,0,0,200000,standing,30,0,0,0
31,smooth_slope,0,1,200000,standing,31,0,0,0
32,smooth_slope,0,0,200000,standing,32,0,0,0
33,smooth_slope,0,1,200000,standing,33,0,0,0
34,smooth_slope,0,0,200000,standing,34,0,0,0
35,smooth_slope,0,1,200000,standing,35,0,0,0
36,smooth_slope,0,0,200000,standing,36,0,0,0
37,smooth_slope,0,1,200000,standing,37,0,0,0
38,smooth_slope,0,0,200000,standing,38,0,0,0
39,smooth_slope,0,1,200000,standing,39,0,0,0
40,smooth_slope,0,0,200000,standing,40,0,0,0
41,smooth_slope,0,1,200000,standing,41,0,0,0
42,smooth_slope,0,0,200000,standing,42,0,0,0
43,smooth_slope,0,1,200000,standing,43,0,0,0
44,smooth_slope,0,0,200000,standing,44,0,0,0
45,smooth_slope,0,1,200000,standing,45,0,0,0
46,smooth_slope,0,0,200000,standing,46,0,0,0
47,smooth_slope,0,1,200000,standing,47,0,0,0
48,smooth_slope,0,0,200000,standing,48,0,0,0
49,smooth_slope,0,1,200000,standing,49,0,0,0
50,smooth_slope,0,0,200000,standing,50,0,0,0
51,smooth_slope,0,1,200000,standing,51,0,0,0
52,smooth_slope,0,0,200000,standing,52,0,0,0
53,smooth_slope,0,1,200000,standing,53,0,0,0
54,smooth_slope,0,0,200000,standing,54,0,0,0
55,smooth_slope,0,1,200000,standing,55,0,0,0
56,smooth_slope,0,0,200000,standing,56,0,0,0
57,smooth_slope,0,1,200000,standing,57,0,0,0
58,smooth_slope,0,0,200000,standing,58,0,0,0
59,smooth_slope,0,1,200000,standing,59,0,0,0
60,smooth_slope,0,0,200000,standing,60,0,0,0
61,smooth_slope,0,1,200000,standing,61,0,0,0
62,smooth_slope,0,0,200000,standing,62,0,0,0
63,smooth_slope,0,1,200000,standing,63,0,0,0
64,smooth_slope,0,0,200000,low_speed,0,0.25,0,0
65,smooth_slope,0,0,200000,low_speed,1,-0.25,0,0
66,smooth_slope,0,0,200000,low_speed,2,0,0.25,0.25
67,smooth_slope,0,0,200000,low_speed,3,0,-0.25,-0.25
68,smooth_slope,0,1,200000,low_speed,4,0.25,0,0
69,smooth_slope,0,1,200000,low_speed,5,-0.25,0,0
70,smooth_slope,0,1,200000,low_speed,6,0,0.25,0.25
71,smooth_slope,0,1,200000,low_speed,7,0,-0.25,-0.25
72,smooth_slope,0,0,200000,low_speed,8,0.25,0,0
73,smooth_slope,0,0,200000,low_speed,9,-0.25,0,0
74,smooth_slope,0,0,200000,low_speed,10,0,0.25,0.25
75,smooth_slope,0,0,200000,low_speed,11,0,-0.25,-0.25
76,smooth_slope,0,1,200000,low_speed,12,0.25,0,0
77,smooth_slope,0,1,200000,low_speed,13,-0.25,0,0
78,smooth_slope,0,1,200000,low_speed,14,0,0.25,0.25
79,smooth_slope,0,1,200000,low_speed,15,0,-0.25,-0.25
80,smooth_slope,0,0,200000,low_speed,16,0.25,0,0
81,smooth_slope,0,0,200000,low_speed,17,-0.25,0,0
82,smooth_slope,0,0,200000,low_speed,18,0,0.25,0.25
83,smooth_slope,0,0,200000,low_speed,19,0,-0.25,-0.25
84,smooth_slope,0,1,200000,low_speed,20,0.25,0,0
85,smooth_slope,0,1,200000,low_speed,21,-0.25,0,0
86,smooth_slope,0,1,200000,low_speed,22,0,0.25,0.25
87,smooth_slope,0,1,200000,low_speed,23,0,-0.25,-0.25
88,smooth_slope,0,0,200000,low_speed,24,0.25,0,0
89,smooth_slope,0,0,200000,low_speed,25,-0.25,0,0
90,smooth_slope,0,0,200000,low_speed,26,0,0.25,0.25
91,smooth_slope,0,0,200000,low_speed,27,0,-0.25,-0.25
92,smooth_slope,0,1,200000,low_speed,28,0.25,0,0
93,smooth_slope,0,1,200000,low_speed,29,-0.25,0,0
94,smooth_slope,0,1,200000,low_speed,30,0,0.25,0.25
95,smooth_slope,0,1,200000,low_speed,31,0,-0.25,-0.25
96,smooth_slope,0,0,200000,low_speed,32,0.25,0,0
97,smooth_slope,0,0,200000,low_speed,33,-0.25,0,0
98,smooth_slope,0,0,200000,low_speed,34,0,0.25,0.25
