case_id,terrain,difficulty_row,source_column,seed,command_bin,replicate,vx_m_s,vy_m_s,yaw_rad_s
1000000,smooth_slope,0,0,210000,standing,0,0,0,0
1000001,smooth_slope,0,1,210000,standing,1,0,0,0
1000002,smooth_slope,0,0,210000,standing,2,0,0,0
1000003,smooth_slope,0,1,210000,standing,3,0,0,0
1000004,smooth_slope,0,0,210000,standing,4,0,0,0
1000005,smooth_slope,0,1,210000,standing,5,0,0,0
1000006,smooth_slope,0,0,210000,standing,6,0,0,0
1000007,smooth_slope,0,1,210000,standing,7,0,0,0
1000064,smooth_slope,0,0,210000,low_speed,0,0.25,0,0
1000065,smooth_slope,0,0,210000,low_speed,1,-0.25,0,0
1000066,smooth_slope,0,0,210000,low_speed,2,0,0.25,0.25
1000067,smooth_slope,0,0,210000,low_speed,3,0,-0.25,-0.25
1000068,smooth_slope,0,1,210000,low_speed,4,0.25,0,0
1000069,smooth_slope,0,1,210000,low_speed,5,-0.25,0,0
1000070,smooth_slope,0,1,210000,low_speed,6,0,0.25,0.25
1000071,smooth_slope,0,1,210000,low_speed,7,0,-0.25,-0.25
1000128,smooth_slope,0,0,210000,normal_motion,0,0.75,0,0
1000129,smooth_slope,0,0,210000,normal_motion,1,-0.75,0,0
1000130,smooth_slope,0,0,210000,normal_motion,2,0,0.75,0.5
1000131,smooth_slope,0,0,210000,normal_motion,3,0,-0.75,-0.5
1000132,smooth_slope,0,1,210000,normal_motion,4,0.75,0,0
1000133,smooth_slope,0,1,210000,normal_motion,5,-0.75,0,0
1000134,smooth_slope,0,1,210000,normal_motion,6,0,0.75,0.5
1000135,smooth_slope,0,1,210000,normal_motion,7,0,-0.75,-0.5
1000192,smooth_slope,0,0,210001,standing,0,0,0,0
1000193,smooth_slope,0,1,210001,standing,1,0,0,0
1000194,smooth_slope,0,0,210001,standing,2,0,0,0
1000195,smooth_slope,0,1,210001,standing,3,0,0,0
1000196,smooth_slope,0,0,210001,standing,4,0,0,0
1000197,smooth_slope,0,1,210001,standing,5,0,0,0
